MapQ,Count
0,42107839
15,7288
35,5958
52,4669
10,7441
48,17956
21,12810
27,26039
7,16972
11,5934
57,8398
60,4435216
8,31210
5,17807
47,7185
40,50126
24,12213
12,7116
54,9193
23,8105
6,22056
25,15759
22,21641
19,10072
46,8239
42,6770
2,12680
30,6418
59,5397
20,10588
4,15724
3,18765
1,16450
45,11321
44,5791
41,5604
43,10179
33,6037
34,4380
32,11840
31,5202
9,9598
50,5034
49,4388
28,4841
56,4743
17,8085
29,4146
18,7919
58,3972
13,6555
39,8163
26,4481
51,5913
55,5238
14,5318
37,5641
53,4261
16,6566
38,3538
36,4280
