Cov,Species
1,Acinetobacter baumannii
2,Actinomyces oris
3,Aeromonas caviae
4,Alloprevotella sp015259235
5,Anaerococcus nagyae
6,Corynebacterium kefirresidentii
7,Corynebacterium macginleyi
8,Corynebacterium matruchotii
9,Cutibacterium acnes
10,Cutibacterium granulosum
11,Cutibacterium modestum
12,Cutibacterium namnetense
13,Enterobacter oligotrophicus
14,Enterococcus faecalis
15,Escherichia coli
16,Kocuria marina
17,Lawsonella clevelandensis_A
18,Planobacterium taklimakanense
19,Porphyromonas pasteri
20,S5-A14a sp900553025
21,Sphingobacterium cellulitidis
22,Staphylococcus capitis
23,Staphylococcus epidermidis
24,Streptococcus mitis_AK
25,Streptococcus oralis_BC
26,Unclassified_107_bin.4
27,Unclassified_147_bin.29
28,Unclassified_152_bin.2
29,Unclassified_164_bin.13
30,Unclassified_48_bin.12
31,Unclassified_5_bin.11
32,Unclassified_68_bin.27
33,Unclassified_A36_bin.24
34,Unclassified_A36_bin.27
35,Unclassified_BJ026_bin.8
36,Unclassified_BJ063_bin.16
37,Unclassified_BJ069_bin.15
38,Unclassified_BJ102_bin.13
39,Unclassified_BJ115_bin.6
40,Unclassified_BJ124_bin.42
41,Unclassified_BJ137_bin.13
42,Unclassified_BJ151_bin.16
43,Unclassified_BJ161_bin.11
44,Unclassified_BJ167_bin.11
45,Unclassified_BJ205_bin.12
46,Unclassified_BJ223_bin.13
47,Unclassified_GDM_bin.2
48,Unclassified_HC33_bin.21
49,Veillonella parvula_A
50,Vibrio metschnikovii
51,Weissella confusa_B
