## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=/mnt/raid6/bacphagenetwork/data/07_histogram/Beijing/BJ001.histogram.pdf MINIMUM_PCT=0.5 INPUT=/mnt/raid6/bacphagenetwork/data/06_unmapped_removed/Beijing/BJ001.removed.sam OUTPUT=/mnt/raid6/bacphagenetwork/data/07_histogram/Beijing/BJ001.histogram.txt    DEVIATIONS=10.0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Aug 27 16:48:31 CST 2024

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
520	502	34	2	239297189	485.269023	123.923894	2471693	FR	11	21	29	39	69	123	219	347	575	797	14114393			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	3
3	2
4	3
5	2
6	6
8	4
9	4
10	2
11	2
12	3
13	4
14	5
15	6
16	6
17	2
18	10
19	7
20	8
21	7
22	7
23	7
24	11
25	18
26	15
27	13
28	20
29	19
30	73
31	60
32	49
33	54
34	62
35	61
36	59
37	53
38	71
39	64
40	53
41	54
42	53
43	82
44	61
45	75
46	82
47	73
48	80
49	82
50	80
51	76
52	75
53	77
54	82
55	73
56	83
57	91
58	109
59	87
60	84
61	93
62	104
63	99
64	100
65	109
66	119
67	117
68	146
69	161
70	150
71	102
72	126
73	119
74	110
75	129
76	147
77	141
78	156
79	176
80	161
81	174
82	160
83	153
84	171
85	140
86	161
87	152
88	214
89	260
90	232
91	237
92	249
93	231
94	226
95	251
96	268
97	278
98	314
99	349
100	357
101	371
102	344
103	384
104	386
105	407
106	410
107	429
108	487
109	584
110	615
111	676
112	576
113	628
114	630
115	666
116	709
117	736
118	802
119	891
120	1001
121	1055
122	1061
123	1019
124	1025
125	1043
126	1124
127	1143
128	1326
129	1369
130	1463
131	1573
132	1533
133	1640
134	1776
135	1795
136	1924
137	2043
138	2205
139	2451
140	2676
141	2721
142	2840
143	2930
144	3003
145	3163
146	3307
147	3476
148	3710
149	3909
150	379
151	349
152	334
153	326
154	385
155	342
156	348
157	391
158	409
159	367
160	394
161	374
162	403
163	439
164	417
165	434
166	466
167	477
168	517
169	516
170	521
171	534
172	459
173	513
174	512
175	539
176	519
177	523
178	580
179	573
180	579
181	606
182	600
183	626
184	638
185	630
186	624
187	639
188	642
189	706
190	734
191	675
192	737
193	728
194	752
195	710
196	733
197	752
198	710
199	797
200	789
201	772
202	813
203	853
204	789
205	836
206	797
207	873
208	869
209	936
210	862
211	956
212	947
213	922
214	989
215	1023
216	937
217	901
218	991
219	1052
220	1021
221	1029
222	1078
223	1088
224	1086
225	1111
226	1100
227	1092
228	1164
229	1172
230	1203
231	1193
232	1191
233	1260
234	1258
235	1304
236	1264
237	1242
238	1313
239	1357
240	1350
241	1368
242	1365
243	1367
244	1442
245	1441
246	1422
247	1493
248	1458
249	1414
250	1501
251	1520
252	1635
253	1588
254	1571
255	1599
256	1667
257	1665
258	1712
259	1650
260	1702
261	1746
262	1698
263	1781
264	1803
265	1815
266	1671
267	1785
268	1873
269	1827
270	1841
271	1861
272	1880
273	1843
274	1898
275	1912
276	1851
277	1909
278	1938
279	1987
280	1957
281	1915
282	2062
283	2010
284	1987
285	2125
286	2077
287	2064
288	2137
289	2081
290	2065
291	2070
292	2129
293	2088
294	2218
295	2128
296	2079
297	2035
298	2133
299	2178
300	2142
301	2178
302	2065
303	2186
304	2189
305	2157
306	2087
307	2097
308	2168
309	2129
310	2207
311	2175
312	2110
313	2146
314	2270
315	2137
316	2132
317	2150
318	2179
319	2163
320	2173
321	2162
322	2098
323	2132
324	2025
325	2161
326	2091
327	2072
328	2186
329	2178
330	2070
331	2026
332	1966
333	2031
334	2068
335	1991
336	1952
337	2034
338	2112
339	1973
340	1999
341	1962
342	1961
343	1907
344	1915
345	2003
346	1850
347	1935
348	1891
349	1923
350	1861
351	1892
352	1773
353	1804
354	1765
355	1738
356	1737
357	2019
358	2354
359	2373
360	2599
361	2908
362	2933
363	3095
364	3396
365	3345
366	3319
367	3409
368	3194
369	3290
370	3180
371	3180
372	3043
373	3015
374	3196
375	3002
376	2976
377	3020
378	3048
379	2937
380	2869
381	2844
382	2779
383	2661
384	2703
385	2674
386	2601
387	2500
388	2619
389	2630
390	2468
391	2393
392	2343
393	2328
394	2436
395	2323
396	2270
397	2283
398	2310
399	2329
400	2323
401	2175
402	2142
403	2108
404	2104
405	2056
406	1927
407	1869
408	1959
409	1985
410	1836
411	1858
412	1938
413	1832
414	1762
415	1729
416	1731
417	1667
418	1660
419	1581
420	1588
421	1543
422	1523
423	1563
424	1711
425	1515
426	1480
427	1430
428	1484
429	1427
430	1333
431	1301
432	1278
433	1261
434	1266
435	1261
436	1201
437	1302
438	1343
439	1226
440	1233
441	1110
442	1166
443	1084
444	1076
445	1044
446	1004
447	958
448	1000
449	995
450	936
451	869
452	884
453	934
454	954
455	972
456	935
457	922
458	901
459	849
460	801
461	812
462	830
463	797
464	787
465	813
466	700
467	747
468	683
469	731
470	666
471	726
472	737
473	764
474	769
475	782
476	716
477	754
478	694
479	776
480	659
481	669
482	675
483	696
484	732
485	677
486	601
487	662
488	639
489	677
490	680
491	647
492	669
493	700
494	698
495	747
496	759
497	991
498	1189
499	1414
500	2114
501	36293
502	36775
503	36738
504	35858
505	35929
506	34852
507	34396
508	33032
509	32902
510	32055
511	31574
512	30459
513	30313
514	29665
515	28949
516	28609
517	27791
518	27191
519	26325
520	25398
521	24986
522	24336
523	23948
524	23389
